Product Name,Price,Rating
"Samsung Galaxy Fit3 Smartwatch, Exercise and Sleep Tracking, Fall Detection, Bluetooth, 40mm, Pink Gold","1,939.00 EGP",4.3
"ConnectME SP8 Ultra Max Smart Watch, 49 mm Screen Size, Orange",325.00 EGP,3.1
"CMF by Nothing Watch Pro 2, 1.96"" Ultra-Clear AMOLED Smartwatch, Advanced Health Monitoring, AI Features, Dark Grey","2,398.05 EGP",4.2
"HUAWEI WATCH FIT 4 Smart Watch, 1.82"" Display, 100+ Sports modes, Fitness & Health Tracker, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android Compatible, Black","5,195.00 EGP",4.5
"Samsung Galaxy Fit3 Smartwatch, Exercise and Sleep Tracking, Fall Detection, Bluetooth, 40mm, Silver","1,899.99 EGP",4.3
"itel O23 (2.02"") LCD Display Smart Watch, Scratch-Resistant Display, 7 Days Battery Life, Heart Rate, AI Voice Assistant & Blood Oxygen Monitoring, 12 months warrant,IP68 Waterproof (Gold)",919.00 EGP,4.2
"CMF Watch Pro 2 Smartwatch for Men Women, Fitness Tracker with Heart Rate, SpO₂ Monitoring,120 Sports Model, Bluetooth Calls with AI Noise Reduction, IP68 Waterproof with GPS for Android IOS Dark Grey","2,488.88 EGP",4.3
"Xiaomi Smart Band 9 Active - Smart Bracelet with AMOLED Display, Activity and Health Tracking, Water Resistant 5 ATM, Long Life Battery Life - Beige White|1 year manufacturer warranty","1,275.00 EGP",4.1
Xiaomi Smart Band 9 Pro Obsidian Black | 1.74'' narrow-edge display | 21-day ultra-long battery life | health management | Professional Workout Analysis,"3,100.00 EGP",4.2
"JOYROOM JR-FC2 Pro Classic Series Smart Watch, 1.46'' HD Display, Bluetooth Calling, 120+ Sports Modes, 10ATM Waterproof, Heart Rate, Long Battery Life, Wireless Charging – Moonlight Silver","2,115.63 EGP",4
"X10 Multifunction Sport Smart Watch, 45mm HD Display, Black Frame, Sport Design, Waterproof (Silver)",810.00 EGP,3
"T2000 ultra 2 Smart Watch Compatible with Apple Watch, Orange Silicone Band, Digital Display, Waterproof, Wireless Charging, with Charging Cable",350.00 EGP,2.2
"HK9PRO+ Smart Watch Series HK9 Pro Plus, AMOLED Display, 45mm Band, Arabic Language, Answer Call, NFC, Sports Mode (Black)",870.00 EGP,3.5
"ADHOMAX New T800 Ultra Smart Watch Elegant Design 1.99"" HD Display, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging, Works With IOS, android for men, women (1, Orange)",277.00 EGP,3
"Haino Teko 25 Waterproof Smart Watch with AMOLED Display, 3 Interchangeable Straps, Voice Assistant, Charging Cable, Designed for Men Black","1,860.00 EGP",5
RIVERSONG Motive 7C Round Smart watch BLACK,"1,627.84 EGP",4.8
"cardoO Smart Watch X Orbit, Round 1.6” AMOLED Display, Bluetooth Calling, Fitness & Health Tracker with Heart, Sleep & SpO2 Monitoring, 100+ Sports Modes – Waterproof, iOS & Android Compatible - Black","3,499.00 EGP",4.3
Z7 Plus Smart Watch - with HD Camera & GPS - Waterproof - Color Screen - Phone Call and Location Tracking (Green),900.00 EGP,5
"HUAWEI WATCH FIT 4 Smart Watch, 1.82"" Display, 100+ Sports modes, Fitness & Health Tracker, Emotional Wellbeing Assistant, up to 10-Day Battery Life, iOS & Android Compatible, Purple","5,670.00 EGP",4.5
"JOYROOM JR-FC2 Pro 350 mAh 48mm, Smartwatch for Men & Women with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English and other, Grey","1,555.00 EGP",No Rating
Z7 Plus Smart Watch - with HD Camera & GPS - Water Resistant - Color Screen - Phone Call and Location Tracking (Rose),900.00 EGP,5
"ttec Tempus Pro 47mm AMOLED Screen Regtangular Casing Smart Watch, Black","1,099.00 EGP",4.8
"CardoO Smart Watch X Apex – 2.01” AMOLED Display, Bluetooth Calling, Fitness & Health Tracker, 100+ Sports Modes, Heart & SpO2 Monitor, IP68 Waterproof – Compatible with Android & iOS - Black","3,499.00 EGP",4
T900 Ultra NFC Smart Watch Bluetooth Call Wireless Charging Sport Smartwatch (Black),261.75 EGP,2.3
"ttec Tempus 35mm TFT Screen Circular Metal Casing Smart Watch, Black",899.00 EGP,3.6
"Xiaomi Redmi Watch 5 – 2.07"" AMOLED Display, Heart Rate & SpO₂ Monitor, 100+ Sports Modes, 5ATM Water Resistant, Notifications, Long Battery Life, Silver Gray","4,590.00 EGP",4.5
"Infinix XWatch XW3E Smart Watch: IP68 Water Resistant, 1.43"" AMOLED Display with Always-On Display, 7-Day Battery Life,300 Watch Faces, Multiple Sports Modes,Bluetooth Call Support,Black","1,900.00 EGP",3.8
"HUAWEI WATCH GT 6 GPS 46mm Smart Watch, 1.47''AMOLED Touchscreen, up to 21 days battery life, Cycling,100+ Sports Mode, iOS & Android, All-day Health Monitoring, Emotional Wellbeing, Black","9,150.00 EGP",4.4
"HK10 Ultra 3 Smart Watch, 2.02"" AMOLED Display, Quad-Core Processor, TWS Headphone Support, AI Features, Multi-Language Translation, Support Arabic Not reversed, NFC (Silver With Orange Strap)",999.00 EGP,3.6
"X10 Multifunctional Sports Smart Watch, 45mm HD Display, Black Frame, Sport Design, Waterproof (Black)",810.00 EGP,3
"XIAOMI Smart Band 10 – 1.72"" AMOLED, Xiaomi HyperOS, Heart Rate & SpO₂ Monitor, Electronic Compass, 150+ Sports Modes, Swim Tracking, Bluetooth, Mystic Rose","2,799.00 EGP",4.5
"AGPTEK Smart Watch for Women, 1.3'' Full Touch Fitness LW11 Watch with Female Health Tracking, Heart Rate Monitor, IP68 Waterproof Outdoor Sports Smartwatch for Android iOS Phones","2,470.00 EGP",4.2
"Amazfit Pop 3R Amoled Display Smartwatch, Black|1 year manufacturer warranty 064","3,999.00 EGP",3.9
"X9+ Ultra 2 Smart Watch, 2.12"" AMOLED Display, 420mAh Battery, IP68 Waterproof, Compatible with Android and iOS, Black",799.00 EGP,4
"ADHOMAX New X8 Ultra max smart watch 2.2"" HD Display, Fitness Tracker, Calls, Music, SpO2, Weather, Calender, Wireless Charging, wearfitpro app IOS, android for men, women (Black+MetalBlack Strap)",599.00 EGP,3.9
"Joyroom Classic Series JR-FC2 Pro Smart Watch (Answer/Make Call) Stylish, Premium Design with Bluetooth Calling & Health Tracking Features - Moonlight Silver","1,947.00 EGP",4
MX10 Smart Watch – With 4 Fashion Bands – Touch Screen – Bluetooth Call – Health & Sports Tracking,500.00 EGP,No Rating
"Samsung Galaxy Watch7 Classic Smartwatch, Green, 40mm, Bluetooth Sleep Coaching, Fitness Tracker, 1 Year Warranty/Local Version","7,989.00 EGP",4.2
T900 Ultra Smart Watch 2.09 Inch Large Screen Infinite Display Rugged Sport Design for Daily Use and Heavy Duty Sports Activities (Black Metal).,375.00 EGP,5
"Joyroom JR-FT5 Fit-Life Series Smart Watch, Bluetooth Calling Smartwatch, 1.83″ HD Display, Advanced Health Monitoring, 80+ Sports Modes, IP68 Waterproof, Rose Gold | 12-Month Warranty","1,422.00 EGP",3.6
"MERV X10 Series10 Multifunctional Sports Smartwatch, 46MM, Super AMOLED Display (Black)",699.00 EGP,3.2
T10 ULTRA 2 Smart Watch BIG INFINITE DISPLAY Wireless Charging 49MM (Grey),599.00 EGP,5
"ADHOMAX X10 Ultra3 Curved Screen Smart Watch NFC, BPM, SpO2, Weather, Camera, Music, Fitness Tracker, Calls, Wireless Charging, wearfitpro mobile app IOS, android, men and women (Orange+Black Strap)",Price not available,4.1
"Haino Teko 12 Waterproof Smart Watch with Built-in Wireless Earbuds, Large AMOLED Display, 3 Pairs of Straps and Charging Cable Designed for Men - Black","2,765.00 EGP",5
"T800 Ultra Smart Watch Largest and Brightest Display Deep Waterproof With Video Controlling Assistant Wireless Fast Charging, BIGGER SCREEN SHOW MORE, Bluetooth, NFC (BLACK)",289.75 EGP,2.3
"ADHOMAX X10 Ultra3 Curved Screen Smart Watch NFC, Elegant Design 49MM, Fitness Tracker, Calls Wireless Charging, wearfitpro mobile app in IOS & android store, for men and women (White)",720.00 EGP,3.6
"ADHOMAX New 2025 T930 Ultra3 smart watch Elegant Design 49MM, NFC, infinite HD display, Fitness Tracker, Heart Rate, Calls, Wireless Charging, for IOS, android for men and women (black + white)",350.00 EGP,2.4
"ADHOMAX New 2025 T900 Ultra2 smart watch Elegant Design 2.2"" NFC, infinite HD display, Fitness Tracker, Bluetooth, Wireless Charging, for IOS, android for men and women (Black)",289.00 EGP,2
"ADHOMAX New X8 Ultra Max golden edition Smart Watch 49MM HD Display, Elegant Design, 3 straps, Lock, Screw, Fitness Tracker, Heart Rate, Calls, Wireless Charging, Camera, Weather | IOS, android",579.00 EGP,3.2
"ADHOMAX HK15 Ultra 2 Max smart watch 2.02 inch amoled display Watch for men, women, compatible with IOS, Android, AI ChatGPT, IP68, NFC, Fitness Tracker | 7 straps print may vary (Orange)","1,169.00 EGP",No Rating
"Dl3 Mobilak Nylon Strap for Redmi Watch 4/Redmi Watch 5/Xiaomi Smart Band 8 Pro/Band 9 Pro, Men and Women Breathable Elastic Bracelet, Adjustable Straps Replacement Band Sport Watchband (Black)",150.00 EGP,3.5
"Nylon Sport Band Compatible with Xiaomi Mi Band 10/9/8 for Women Men, Soft Adjustable Breathable Sport Loop Watch Strap Replacement Wristband for Xiaomi Smart Band 8/9/10",150.00 EGP,4.2
"Dl3 Mobilak Smart Watch Strap for Xiaomi Redmi Band 2, Sport Silicone Watch Band Wrist Strap, Replacement Bracelet Wristband Wrist Strap for Xiaomi Redmi Smart Band2 Accessories",110.00 EGP,4.2
"Dl3 Mobilak Bracelet Compatible with Xiaomi Mi Band 10/9/8, Stainless Steel Replacement Straps, Mesh Metal Watch Strap, Magnetic Adjustable Replacement Strap For Xiaomi Smart Band 8/9/10",225.00 EGP,4.5
"Honor MagicWatch 2 Smartwatch, 14 Day Battery Life, 15 Fitness Modes, SpO2 Monitor, Swimming Heart Rate Monitor, Stress Sleep Tracking, Bluetooth Call, 46mm, Charcoal Black",Price not available,4.4
"Samsung Galaxy Watch8 (44mm, LTE, Graphite) with 3nm Processor | Dual GPS | Sapphire Glass & Armor Aluminum | 5ATM & IP68 | BP, ECG, IHRN & Vascular Load Monitoring | Anti-oxidant Index","11,790.00 EGP",4.2
"ADHOMAX New 2025 T900 Ultra2 smart watch Elegant Design 2.2"" NFC, infinite HD display, Fitness Tracker, Bluetooth, Wireless Charging, for IOS, android for men and women (Black)",289.00 EGP,2
"Itel Smartwatch Edge R1 Pro (ISW-O43) designed for fitness enthusiasts, professionals, and adventurers. 1.43-inch AMOLED HD display, 466x466 resolution, IP68,12 Months Warranty, Blue","1,599.00 EGP",5
"CardoO CEGWAT02 Smart Watch for Men - Touch Screen, Heart Rate Monitor, Waterproof, Bluetooth Calls, Arabic Support for Android and iOS (Black)","1,999.00 EGP",3.8
Oraimo OSW-820 Smart Watch 5R Premium Smartwatch Sleek and Robust for Active Lifestyles - Black,"1,699.00 EGP",3.6
"CMF BY NOTHING Watch Pro 2, 1.32"" AMOLED, Auto-Brightness,Gesture Control, 3D Warmup Wuide, GPS Smartwatch (Ash Grey)","2,390.00 EGP",4.4
ME23 Ultra 3 Smart Watch – 2.20mm Full Screen – Pulse & Blood Pressure Measurement – Call – Multiple Sports – 7 Extra Strap (Silver),500.00 EGP,5
"CMF Watch 3 Pro Smart Watch for Men Women, Bluetooth Call AI Smartwatch with Energy Score, Heart Rate Tracking, Sleep Monitor, GPS & 130+ Sport Modes, Fitness Tracker for Android iOS, IP68 Green","3,894.00 EGP",4.3
"Smart Watches for Men Women, Alexa Built-in, 1.8"" Smartwatch with Heart Rate/SpO2/Sleep/Stress, IP68 Waterproof Fitness Tracker with Bluetooth Call (Answer/Make), 101+ Sports Modes, for Android iPhone","1,680.00 EGP",4.2
"Xiaomi Watch S4 Rainbow |Smartwatch| 1.43"" AMOLED display, Long battery life, Bluetooth calling, Noise reduction, Advanced health detection, 15 days battery life","8,523.16 EGP",4.4
"Huawei Watch GT 6 Pro Atum-B29F Smart Watch, 46mm, Titanium Alloy Case, Fluoroelastomer StrapBlack, Black - 1 Year Warranty","13,769.77 EGP",4.4
ME17 Ultra 3 Smart Watch 2.21 Inch Large Screen Touch Screen Support Heart Rate Pressure Sleep Monitor with 2 Straps and Magnetic Charger (Orange),425.00 EGP,4
"Smartwatch X10 ultra 3 with 2.20 inch curve display, wear.fit pro app, Smart Watch support NFC,voice assistant,CHAT GPT, 2025 NEW color (Gold)",749.00 EGP,3.8
"ADHOMAX New T800 Ultra Smart Watch Elegant Design 1.99"" HD Display, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging, Works With IOS, android for men, women (1, Orange+Yellow)",322.00 EGP,5
HainoTeko SQ17 Smart Watch with AMOLED Display 3 Pair Straps and Wireless Charger Designed for Ladies (Pink),"1,736.50 EGP",4.5
"X10 Multifunctional Sports Smart Watch, 45mm HD Display, Black Frame, Sport Design, Waterproof (Black)",810.00 EGP,3
"ADHOMAX Ultra Big 7 In 1 Smart Watch, 2.01"" HD Display, Calling, Fitness Tracker, Wireless Charging, Heart Rate, SpO2, Weather, Camera, Music, For IOS, android, men and women (Black)",599.00 EGP,2.5
"ADHOMAX New T800 Ultra2-Plus Smart Watch Elegant Design 2.2"", NFC, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging | IOS and android for men, women (Gray Strap)",299.99 EGP,2.6
"ADHOMAX Smart Watch new edition HD Display, Elegant Design, Fitness Tracker, Heart Rate, Calls, Music, SpO2, Wireless Charging, Camera, Weather, Calender | IOS, android (V22 Max, 14 Strap)",719.00 EGP,2.4
"SKMEI Men's Digital Sports Watch 50m Waterproof LED Military Multifunction Smart Watch Stopwatch Countdown Auto Date Alarm - 1251, Black, Strap",498.93 EGP,4.1
"HUAWEI WATCH GT 6 Pro Smart Watch, 46mm, upto 21 days battery life, GPS Smart Watches with 100+ Sports Mode, Cycling, iOS & Android Compatible, ECG Analysis, Health Monitoring, Black","13,700.00 EGP",4.5
Joyroom JR-FT5 Fit-Life series Waterproof IP68 Smartwatch With Answer/Make Call - Black,"1,399.00 EGP",3.5
"Honor Band 7, Smart Watch Fitness Tracker, 14 Days Battery Life, 1.47 inch AMOLED Screen, Heart Rate Monitor, Sleep Monitor, All Day Blood Oxygen Tracker, 96 Workout Modes, Black Meteorite","1,671.54 EGP",4.3
"Kids Digital Smart Watch – Waterproof LED Wristband for Boys & Girls, Cartoon Superhero Design – Birthday Gift for Ages 2-12 (Multicolor) (Black Spidarmen)",79.00 EGP,3
Generic T800 Ultra NFC Smart Watch Bluetooth Call Wireless Charging Sport Smartwatch (Orange),310.00 EGP,2.4
"itel ICON-2 Smartwatch with BT Calling, 1.83"" HD Display, 550 nits Peak Brightness, Functional Crown, IP68, 150+ Watch Faces, 24Hr Health Monitor and Voice Assistant (Black)",890.00 EGP,3.8
"T80 MAX Super Large 7 in 1 Smart Watch, 2"" HD Screen for Calls, Fitness Tracker, Wireless Charging, Heart Rate, SpO2, Music, Men and Women",510.00 EGP,5
"AGPTEK Smart Watch for Men, 1.3'' Full Touch Fitness LW11 Watch with Heart Rate Monitor, DIY Watch Face, Message Notification, IP68 Waterproof Outdoor Sports Smartwatch for Android iOS Phones, Black","3,300.00 EGP",4
"Mibro Smartwatch C4,Up to 10 days of daily use, 45 days in basic mode, 5 hours of music playback,6 hours of Bluetooth calls, App message push,Incoming call push,Dark Gray - 12 Months warranty","1,795.00 EGP",4.4
"Generic X8 Plus Ultra Smartwatch: Modern, Heart Rate Monitor, 2.1 inches, Blue",569.75 EGP,3.5
"ConnectME SP9 Ultra Max Smart Watch, 49 mm Screen Size, Orange",375.00 EGP,3.4
"ADHOMAX Smart Watch new edition HD Display, Elegant Design, Fitness Tracker, Heart Rate, Calls, Music, SpO2, Wireless Charging, Camera, Weather, Calender | IOS, android (V22 Max, 14 Strap)",719.00 EGP,2.4
smart watch HK 10 ultra 3 AMOLED screen black color,999.99 EGP,4.4
Smart Watch X8 Ultra Max(X8 ultra max) NFC Call Bluetooth with Wireless Charging System Support Arabic and English Language HD Touch Screen (Black),949.00 EGP,3.7
HAYLOU Smart Watch HL-SP,"2,999.00 EGP",4.2
"aeac Men's Smartwatch Calls, 1.7 Inches Smartwatch Watch for Men and Women with Hands-Free Answering Calls, Built-in Alexa, Heart Rate Monitor SpO2 Sleep, Fitness Watch Notifications Messages Whatsapp","3,999.00 EGP",4.1
HUAWEI WATCH GT 5 VILI-B19W 46MM BLUE WOVEN STRAP,"8,299.00 EGP",4.7
"Smart Watch for Kids with 12 Puzzle Games, 1.83"" Fitness Tracker Watch Heart Rate Sleep Monitor, Pedometer, Alarm Clock, Flashlight, Gift for 6-12 Year Old Boys","2,999.00 EGP",4.4
"Oraimo Watch 2R Smart Watch, 1.39-inch TFT Display, IP68 Waterproof, Rose Gold","1,599.00 EGP",2.5
"SHARAV Smart Watch - ID116 Smart Watches for Men Women, Bluetooth Smartwatch Touch Screen Bluetooth Smart Watches for Android iOS Phones Wrist Phone Watch, Women",699.00 EGP,2.2
Generic Smart Watch X9 Ultra 2 AMOLED Display Supports NFC/Chat GPT - Arabic Language/calls - Orange,699.00 EGP,3.7
"Huawei Watch GT 6 Atum-B19W Smart Watch, 46mm, Green - 1 Year Warranty","8,900.00 EGP",4.8
"Military Smart Watch for Men, 120+ Sport Modes 1.39"" Full Screen Tactical Watches Rugged for Android Phones iPhone Compatible Fitness Tracker Heart Rate Sleep Monitor Pedometer","3,499.00 EGP",4
"SKMEI Waterproof Watch with Pedometer, Calories, Sleeping Monitor, Call Remind Smartwatch (Khaki, 50m)",499.00 EGP,3.8
"Smart Watch for Kids, 1.83"" Fitness Tracker Watch Pedometer, Heart Rate, Sleep Monitor, IP68 Waterproof, Pedometer, Puzzle Games with/Without APP for Girls Boys Teens 6-16","2,999.00 EGP",4.2
"HK23 Pro+ Smart Watch, 2.2-inch HD Display, IP67 Water Resistant, Heart Rate and Blood Pressure Monitor, Bluetooth Calling, NFC, Supports Arabic Not Reversed (PRO+ Black)",999.00 EGP,No Rating
"HONOR Watch GS 3, SmartWatch with 1.43 Inch AMOLED Touch Screen, Fitness Watch with Heart Rate Monitor, Sleep and Blood Oxygen Monitoring for Android, GPS, 14 Days Battery Life, Midnight Blue","5,999.00 EGP",4
"SKMEI Mens Compass Watch, Digital Sports Watch Pedometer Altimeter Barometer Temperature Military Waterproof Wristwatch for Men Women, strap",499.00 EGP,3.5
"Haino Teko G9mini Smart Watch - Rose Gold for Women with Three Sets of Bracelets and Haino Teco Gold Fashion Band with AMOLED Display, Bluetooth Calling, Health Fitness Tracker","1,750.00 EGP",No Rating
"Smart Band 3e, Digital Display, Black, Waterproof, Bluetooth Compatible, with Adjustable Elastic Strap, for Sports and Daily Use_+_","1,100.00 EGP",No Rating
Z7A Smart Watch Kids Tracking & Calls - Independent SIM - Track From Anywhere Agent Warranty Direct:01150652084 (Purple),"1,399.00 EGP",No Rating
"ADHOMAX New 2025 T900 Ultra2 smart watch Elegant Design 2.2"" NFC, infinite HD display, Fitness Tracker, Bluetooth, Wireless Charging, for IOS, android for men and women (Orange+Black Strap)",331.00 EGP,2.5
"ADHOMAX New T2000 ultra2 smart watch, Elegant Design 49MM HD display, NFC, Bluetooth Calls Wireless Charging,SPO2, Fitness Tracker, compatible with IOS, android for men, women (Black+White)",333.00 EGP,2.6
"HK9 Ultra 2 Smart Watch 9th Edition, Voice Recording, Gaming, NFC, Bluetooth, Waterproof, 2 Straps, Arabic Language (Black & Multi Color Strap)",799.00 EGP,2
"ADHOMAX K8 Ultra3 Smart Watch, Slim Case, Calls, 3D, Fitness Tracker, AI, Voice, Wireless Charging, Heart Rate, Games, SpO2, Weather, Camera, Music, IOS, android, men, women (Orange-GoldMetal Strap)",466.00 EGP,2.8
"Nylon Sport Band Compatible with Xiaomi Mi Band 10/9/8 for Women Men, Soft Adjustable Breathable Sport Loop Watch Strap Replacement Wristband for Xiaomi Smart Band 8/9/10",150.00 EGP,4.2
"Dl3 Mobilak Bracelet for Redmi Watch 4 / Redmi Watch 5 / Xiaomi Smart Band 8 Pro/Xiaomi Smart Band 9 Pro Wristbands for Men Women, Silicone Strap, Waterproof Sports Replacement Strap",140.00 EGP,2.1
"Dl3 Mobilak Smart Watch Strap for Xiaomi Mi Watch Lite,Sport Silicone Watch Band Wrist Strap,Replacement Bracelet Wristband Wrist Strap for Xiaomi Mi Watch Lite/Redmi Watch Accessories",110.00 EGP,3.7
"Dl3 Mobilak Bracelet Compatible with Xiaomi Mi Band 10/9/8, Stainless Steel Replacement Straps, Mesh Metal Watch Strap, Magnetic Adjustable Replacement Strap For Xiaomi Smart Band 8/9/10",225.00 EGP,4.5
"CardoO Smart Watch X Apex – 2.01” AMOLED Display, Bluetooth Calling, Fitness & Health Tracker, 100+ Sports Modes, Heart & SpO2 Monitor, IP68 Waterproof – Compatible with Android & iOS - Gold","3,499.00 EGP",4
"Mibro Lite 3 Pro Smart watch, 1.32"" AMOLED Display, 10 Axis Motion Sensor, Bluetooth Calling, GPS, 150+ Sport Modes, 5ATM Water Resistant, Heart Rate Monitoring, 15 Days Battery Life, Smartwatch","3,925.00 EGP",3.2
"ConnectME S9 Ultra Smart Smart Watch, 49 mm Screen Size, Orange",399.00 EGP,2.2
"Xiaomi Watch S4 Rainbow |Smartwatch| 1.43"" AMOLED display, Long battery life, Bluetooth calling, Noise reduction, Advanced health detection, 15 days battery life","8,523.16 EGP",4.4
"Smart Watch HW9 MiNi, 1.8 Inch AMOLED Display, Steel and Silicon Straps, Heart Rate Monitor, Fitness TRACKING, NFC, Game Mode, Voice Assistant, Pink",999.00 EGP,2.9
"KOSPET Tank T3 Ultra 2 Smart Watch for Men GPS, Extra-Long Battery, Full Stainless Steel Body Rugged Smartwatch with Bluetooth Calling, 1.43"" AMOLED Display, Pressure, Altitude, Compass - Black","5,500.00 EGP",4.2
"LENYES LW-217 Smart Watch, 2.01-inch TFT Display, IP68 Waterproof, Camouflage Design, BT5.3, 410mAh Battery","1,175.00 EGP",4.6
"Choetech Smart Watch 1.91 Inch touch screen, Health monitoring, Life Control Rectangle Black",999.00 EGP,3.3
"Smart Watch T800 Ultra for Women & Man with 2 inch HDScreen & 49mm Strap, Supports Always on Clock, Fitness, calls, Bluetooth, Heart Rate, Sports Mode, Sleep Monitoring (Black 1)",499.00 EGP,3
"ME11 Ultra 3 Smart Watch 2.21"" AMOLED Screen - Wireless Charging - with 2 Extra Bands (Orange-Grey)",425.00 EGP,2.5
"ADHOMAX New T800 Ultra2-Plus Smart Watch Elegant Design 2.2"", NFC, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging | IOS and android for men, women (Black)",289.00 EGP,2.7
"Huawei Watch GT 6 Atum-B19W Smart Watch, 46mm, Green - 1 Year Warranty","8,900.00 EGP",4.8
"Texton Waterproof Smart Watch Features Like Daily Activity Tracker, Heart Rate Blood Pressure Tracking,Sleep Monitor,and Basic Functionality for Men/Women/Boys/Girls and All Age Group",699.00 EGP,2.4
"Kids Digital Smart Watch – Waterproof LED Wristband for Boys & Girls, Cartoon Superhero Design – Birthday Gift for Ages 2-12 (Multicolor) (Black Spidarmen)",79.00 EGP,3
"HUAWEI WATCH GT 6 Pro Smart Watch, 46mm, upto 21 days battery life, GPS Smart Watches with 100+ Sports Mode, Cycling, iOS & Android Compatible, ECG Analysis, Health Monitoring, Black","13,700.00 EGP",4.5
"Huawei Watch GT 6 Atum-B19L Smart Watch, 46mm, Stainless Steel Case, Leather Strap, Grey - 1 Year Warranty","9,895.00 EGP",4.2
"X10 Multifunction Sport Smart Watch, 45mm HD Display, Black Frame, Sport Design, Waterproof (Gold)",810.00 EGP,3
"ADHOMAX New T800 Ultra2-Plus Smart Watch Elegant Design 2.2"", NFC, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging | IOS and android for men, women (White Strap)",299.99 EGP,2.6
T800 Ultra 2 Smart Watch Aluminum Case Sport Watch 45mm Fashion Design For Unisex - Black,330.00 EGP,2.5
"ADHOMAX Smart Watch new edition HD Display, Elegant Design, Fitness Tracker, Heart Rate, Calls, Music, SpO2, Wireless Charging, Camera, Weather, Calender | IOS, android (X999 Golden, 4 Stratps)",579.00 EGP,2.4
"Digital Smart Watch with Silicone Band, Rose Gold Case, Multiple Colours Available",63.00 EGP,2.8
"ADHOMAX New 2025 T900 Ultra2 smart watch Elegant Design 2.19"" Series 8 display, Fitness Tracker, Bluetooth Wireless Charging, Touch Screen compatable with IOS, android for men and women (Black)",333.00 EGP,2.4
MERV - X10 Ultra 3 Smart Watch WearFit 49mm (Orange),699.00 EGP,3.9
"ME31 ULTRA 3 Smart Watch 2.21"" HD IPS AMOLED Display – 7+1 Straps – Call & Notification Support",500.00 EGP,2.5
"ADHOMAX New Ultra Big 7 In 1 Smart Watch, 2.01"" HD Display, Calling, Fitness Tracker, Wireless Charging, Heart Rate, SpO2, Weather, Camera, Music, For IOS, android, men and women (Black)",599.00 EGP,2.8
"HONOR Watch GS 3, SmartWatch with 1.43 Inch AMOLED Touch Screen, Fitness Watch with Heart Rate Monitor, Sleep and Blood Oxygen Monitoring for Android, GPS, 14 Days Battery Life, Midnight Blue","5,999.00 EGP",4
"Samsung Galaxy Watch8 (44mm, LTE, Graphite) with 3nm Processor | Dual GPS | Sapphire Glass & Armor Aluminum | 5ATM & IP68 | BP, ECG, IHRN & Vascular Load Monitoring | Anti-oxidant Index","11,790.00 EGP",4.2
