Posted date,Job title,Company name,Location,Skills,Links,Salaries,Requirements
23 days ago,Quality Analyst- BPO,Intouch CX  -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · Customer Service/Support · Quality · Quality Assurance · Quality Management · Software Quality · Quality Control · Quality assurance · Quality management · Software quality · Quality control,/jobs/p/76jrbob5au7g-quality-analyst-bpo-intouch-cx-giza-egypt,Not Mentioned,"Ready to Take Your Quality Assurance Career to the Next Level? | We are looking for a dedicated and experienced Quality Analyst to join our team in Giza. If you possess the following qualifications, we encourage you to apply: | Experience:1-4 years of experience in quality assurance, preferably within a BPO or customer service environment. | Skills:Proficient inQuality Assurance,Quality Management,Software Quality, andQuality Control. | Analytical Skills:Strong ability to analyze data, identify trends, and develop actionable insights. | Communication Skills:Excellent verbal and written communication skills to provide effective feedback and training. | Problem-Solving:Demonstrated ability to identify and resolve quality-related issues. | BPO Knowledge:Familiarity with BPO processes and best practices is a plus. | If you are a motivated and detail-oriented professional seeking an exciting opportunity, we want to hear from you! Join us and contribute to our mission of delivering exceptional quality services."
25 days ago,Financial Analyst,Cultiv -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Finance · Analysis · Financial · Excel · Computer Skills · Analytical · Data,/jobs/p/07dpy4g27a0o-financial-analyst-cultiv-cairo-egypt,Not Mentioned,"Education & Experience | Bachelor’s degree in Finance, Accounting, Economics, or a related field. | 0 to 2 years of relevant internship or work experience in finance or accounting. | Technical Skills | Strong proficiency in Excel or Google Sheets. | Basic understanding of financial statements, budgeting, and forecasting. | Familiarity with accounting systems or ERP tools is a plus. | Core Competencies | High attention to detail and accuracy. | Analytical thinking and problem-solving mindset. | Ability to manage multiple priorities in a dynamic environment. | Strong communication and teamwork skills. | Eagerness to learn and grow within a startup ecosystem. | What You’ll Gain | Hands-on exposure to financial operations across multiple ventures. | Fast learning curve in a mission-driven, entrepreneurial environment. | Opportunity to grow into a mid-level financial or strategic finance role."
10 days ago,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Investment · Microsoft Excel · Microsoft Powerpoint · Financial Modeling · Asset Management · Equity Research · Investment Banking · Microsoft excel,/jobs/p/vlfiu6lbftnt-senior-associate-financial-analyst-pre-group-cairo-egypt,Not Mentioned,"Educational Background: | Bachelor’s degree in finance, Economics, Business Administration, or related field, (CFA, FMVA, or equivalent certification strongly preferred). | Professional Experience: | 3 to 7 years of relevant experience in Private Equity, Asset Management, Investment Banking, or Equity Research. | Proven track record in financial modeling, valuations, and transaction execution. | Technical Skills: | Strong knowledge of valuation methodologies (DCF, trading Comparables, precedent transactions, etc.) | Advanced knowledge in Excel, PowerPoint, and financial modeling tools. | Solid understanding of financial statements, capital structures, and investment metrics | Industry & Transaction Exposure: | Experience in M&A, capital raising, risk management, or portfolio management. | Exposure to real estate, industrial, or financial services sectors is a plus. | Soft Skills: | Excellent analytical, problem-solving, and critical-thinking abilities. | Strong communication and presentation skills (ability to interact with senior management & investors). | Ability to manage multiple projects under tight deadlines. | Collaborative mindset with leadership potential to mentor junior staff. | High level of professionalism, integrity, and attention to detail. | Fluency in English (Arabic is an advantage for local deal-making)."
16 days ago,Feasibility study Analyst - Real Estate,EBNY developments -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · males_preferred · Accounting/Finance · Analyst/Research · Financial Modeling · Market Research · Data Analysis · Real Estate Valuation · Project Management · Report Writing · Risk Assessment · Stakeholder Communication,/jobs/p/tlkwkfxhyjjh-feasibility-study-analyst-real-estate-ebny-developments-cairo-egypt,Not Mentioned,"Bachelor’s degree in Finance, Economics, Business Administration, or a related field. | 5-7 years of experience in feasibility analysis, investment analysis, or a similar role within the real estate sector. | Proven ability to develop and interpret complex financial models and forecasts. | Strong analytical and quantitative skills with attention to detail. | Experience conducting market research and data analysis for real estate projects. | Excellent written and verbal communication skills for report preparation and presentations. | Proficiency in Microsoft Office Suite, especially Excel and PowerPoint. | Ability to work collaboratively in a fast-paced, office-based environment. | Demonstrated problem-solving skills and the ability to make data-driven recommendations. | Familiarity with local real estate regulations, zoning, and permitting processes."
19 days ago,Financial Analyst,المؤسسة المصرية للتمويل EAF -,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · completed a Credit Course · interpreting financial statements · Previous experience in banking or microfinance is a plus · Report Writing · Financial Analysis · Attention to Detail · Financial Modeling · Team Collaboration,/jobs/p/heshipjjy3ps-financial-analyst-almoss-almsry-lltmoyl-eaf-giza-egypt,Not Mentioned,"Bachelor’s degree in finance, Accounting, Economics, or a related field. | 2-4 years of relevant experience in financial analysis or a similar role. | Strong analytical and quantitative skills with a keen attention to detail. | Proficiency in financial modeling and advanced Excel functions. | Excellent communication and presentation skills, both written and verbal. | Ability to work independently and collaboratively within a team environment. | Demonstrated experience in preparing financial reports and forecasts. | Familiarity with financial software and enterprise resource planning (ERP) systems. | Strong organizational and time management skills to handle multiple priorities. | Commitment to maintaining confidentiality and integrity in handling sensitive financial information."
4 days ago,Operation Analyst Specialist,Etisal EG -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Operations/Management · Analyst/Research · Data Analysis · analytical · Operations · Analytics · Communication · Communication skills · Customer Service · Customer Support,/jobs/p/s7johbr60pkv-operation-analyst-specialist-etisal-eg-cairo-egypt,Not Mentioned,"Bachelor’s degree in Business Administration, Operations Management, Statistics, or a related field. | 2-4 years of proven experience in an operations analysis or similar role. | Analytical and Problem-Solving Skills. | Excellent communication skills, Presentation skills, Analytics Skills,"
5 days ago,Project Listing Specialist & Data Analyst for E-Commerce Platforms,armonia vita  -,"Mansoura, Dakahlia, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · E-Commerce Platform Management · Data Analysis · Microsoft Excel · sheets google · SEO,/jobs/p/8creyckjvc8z-project-listing-specialist-data-analyst-for-e-commerce-platforms-armonia-vita-dakahlia-egypt,Not Mentioned,"Create and upload accurate, SEO-optimized product listings. | Conduct market research to enhance product visibility. | Monitor and analyze performance metrics (traffic, clicks, sales). | Update inventory, pricing, and product details regularly. | Identify and resolve listing errors or inconsistencies. | Prepare reports and provide recommendations based on data analysis."
27 days ago,Senior System Analyst | Bahrain,Confidential -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · males_only · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Systems Analysis · Business Process Modeling · Requirements Gathering · Technical Documentation · Project Coordination · Problem Solving · Software Implementation,/jobs/p/qndojmlfacph-senior-system-analyst-bahrain-cairo-egypt,Not Mentioned,"Bachelor’s degree in Computer Science, Information Systems, or a related field | Proven experience as aSystem Analyst, preferably withIFS applications | Strong understanding of O&M support processes | Experience working on large-scale or government projects is a plus | Strong analytical, problem-solving, and communication skills | Ability to work independently and in a structured, regulated environment | Willingness torelocate to Bahrain | Availability to start fromFebruary 2026 | Professional-level English communication skills"
1 month ago,Business Data Analyst (Finance-Oriented),Mazzika Group -,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Accounting/Finance · Business Development · Analyst/Research · Financial Analysis · Data Visualization · Business Intelligence · SQL · Excel · Reporting · Dashboard Development,/jobs/p/r377ssty41so-business-data-analyst-finance-oriented-mazzika-group-giza-egypt,Not Mentioned,"Minimum 2 years of experiencein a business, finance, or data analysis role. | Strong numerical and analytical mindset. | Background in Accounting, Business Informatics, Information Systems, or similar fields. | Working knowledge of SQL (for data retrieval, not development). | Strong Excel skills. | This role is business-focused and not a software engineering position."
29 days ago,Project Controls & Financial Analyst,AZE Engineering -,"Abu Dhabi, United Arab Emirates ",Full TimeRemoteEntry Level · 1 - 5 Yrs of Exp · Accounting/Finance · Budgeting and forecasting · Cost control · Project controls · Data analysis,/jobs/p/ciewwsuzern0-project-controls-financial-analyst-aze-engineering-abu-dhabi-united-arab-emirates,Not Mentioned,"Bachelor’s degree in Finance, Accounting, Business Administration or a related field. | 1-3 years of experience in project controls, cost engineering, financial analysis, or a similar role. Experience in engineering, construction, or project-based services is a strong advantage. | Advanced proficiency in Microsoft Excel (pivot tables, VLOOKUP/XLOOKUP, SUMIFS, INDEX/MATCH) is essential. Experience with Smartsheet or similar PM software is highly valued. | Exceptional attention to detail, numerical accuracy, and a process-oriented mindset. | Strong written and verbal communication skills in English. | Self-motivated with the ability to work independently and manage multiple deadlines in a fully remote setting."
2 months ago,Business Analyst,BI-Technologies -,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 1 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · business · Business Development · Computer Science · Information Technology (IT) · Data · Management,/jobs/p/n75g9rmwblcy-business-analyst-bi-technologies-cairo-egypt,Not Mentioned,"Core Business Analysis Skills | Requirements elicitation through interviews, Document analysis, and workshops (medium to low complexity) | Requirements documentation (user stories, functional requirements, acceptance criteria) | Requirements traceability and change tracking | Understanding of requirements lifecycle management | Process flow documentation (e.g., BPMN or simple flow diagrams) | Understanding of end-to-end business processes | Ability to document “as-is” and “to-be” processes | Ability to follow defined BA standards and methodologies | Willingness to learn domain-specific systems (SalesBuzz) | Communication & Stakeholder Skills | Clear written and verbal communication | Ability to clarify requirements with business and technical stakeholders | Active listening and questioning techniques | Professional collaboration with cross-functional teams | Analytical & Problem-Solving Skills | Strong analytical and logical thinking | Ability to break down business needs into clear requirements | Identify gaps, inconsistencies, and dependencies | Support impact analysis"
1 month ago,Bookkeeping Analyst I,Assist Group Limited  -,"Faisal, Giza, Egypt ",Full TimeOn-siteEntry Level · Accounting/Finance · Bookkeeping · Financial Reporting · Bank Reconciliation · Data Entry · QuickBooks · English Communication · Microsoft Excel · Attention to Detail,/jobs/p/xjxf6awypnc9-bookkeeping-analyst-i-assist-group-limited-giza-egypt,Not Mentioned,"Essential:Fluency in English (Written & Spoken) – you will work in an English-primary professional environment. | A Bachelor’s degree in Accounting, Finance, Business Administration, or a related field. | Experience in Quickbooks Desktop, Quickbooks online .Recent graduates with a strong desire to specialize are strongly encouraged to apply. | Familiarity with U.S. accounting principles and bookkeeping practices is highly desirable. | A learner’s mindset – we will provide training on specific software and processes. | Willingness to participate in ongoing training and professional development. | Outstanding numerical accuracy and a passion for getting the details right. | Strong confidentiality and integrity when handling sensitive information. | Good working knowledge of G-Suite (google platform). | Working hours are from 4:00 pm to 1:00 am."
1 month ago,Financial planning and Analyst,Confidential -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Accounting · Commerce · Analyst · Analysis · Finance · Financial Analysis · Planning · Forecasting,/jobs/p/taf92lwlbjtm-financial-planning-and-analyst-cairo-egypt,Not Mentioned,"Bachelor's degree in Finance, Accounting, Economics, or a related field. | Proven experience as a Financial Analyst or similar role, preferably with specialization in financial analysis and strategic planning. | Strong analytical skills with expertise in financial modeling, forecasting, and valuation techniques. | Advanced proficiency in financial software and Microsoft Excel. | In-depth knowledge of financial statements, accounting principles, and financial regulations. | Excellent problem-solving and critical-thinking abilities. | Strong communication and presentation skills, with the ability to convey complex financial concepts to non-financial stakeholders."
1 month ago,Financial Analyst,Fawry Plus -,"Smart Village, Giza, Egypt ",Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Budgeting · Financial Analysis · Forecasting · Variance Analysis · Financial Reporting · Excel · Data Interpretation · Attention to Detail · Communication,/jobs/p/oz0r7itsbuvu-financial-analyst-fawry-plus-giza-egypt,Not Mentioned,"Bachelor’s degree inFinance, Accounting, Economics, or Business Administration | 6 months to 1 yearof experience in finance, accounting, or financial analysis | Strong understanding offinancial statements | Good analytical and problem-solving skills | High attention to detail and accuracy | Ability to meet deadlines and work in a fast-paced environment | Proficiency inMicrosoft Excel(Pivot Tables, VLOOKUP/XLOOKUP, formulas) | Basic knowledge of financial modeling | Familiarity withERP systems(experience with Oracle, SAP, or similar is a plus) | Power BI or data visualization tools are a plus | Strong communication and presentation skills | Team player with a proactive attitude | Willingness to learn and grow within the finance function | Good time management and organizational skills"
1 month ago,Data Analyst,Linrco Egypt -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Quality · Data Analysis · performance Analysis · KPI's · Quality Assurance,/jobs/p/ailkpyyoxt9a-data-analyst-linrco-egypt-cairo-egypt,Not Mentioned,"• Bachelor’s degree in Business Administration, Management Information Systems, Statistics, or a related field.• 2 to 3 years of proven experience in Data Analysis, KPI Management, or Quality-related roles.• Strong proficiency in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook).•  Experience using QA documentation systems and process mapping tools (e.g., Visio, Lucid chart, or equivalent).•  Strong auditing, documentation, and analytical skills.•  Knowledge of CAPA processes and root cause analysis methodologies.• Fluent in English.• Excellent attention to detail and organizational skills.• Effective written and verbal communication skills.Preferred Qualifications:•  Experience in Call Center, BPO, or service-based environments.•  Experience with Power BI or similar reporting tools.•  Knowledge of quality frameworks or standards (e.g., ISO)."
1 month ago,Business Analyst,Electro Pi -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · Requirements Gathering · Process Improvement & Workflow Optimization · Agile & Scrum Methodologies · Stakeholder Management · Technical Specification & System Analysis · Familiarity with AI / Machine Learning concepts · Product Requirements Definition for Tech/AI projects,/jobs/p/wludgyeoz23u-business-analyst-electro-pi-cairo-egypt,Not Mentioned,"3–5 years of experience as a Business Analyst in atech environment. | Strong understanding of technical systems and software development processes. | Experience with Agile methodologies, JIRA, and Confluence. | Proficiency in data analysis tools (Excel, Power BI, SQL – optional). | Excellent communication and stakeholder management skills. | Must have own laptop and be ready to start immediately."
2 months ago,Financial Analyst,Elsewedy industries -,"10th of Ramadan City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · financial analyst · Financial Analysis · Analyst · Finance · Forecasting · Financial · Corporate Finance · Reporting,/jobs/p/7rzmfcwyhhkw-financial-analyst-elsewedy-industries-cairo-egypt,Not Mentioned,"BS degree in Finance, Economics or related field | 2:5 years of experience as Financial Analyst preferably in manufacturing industry. | Proven working experience as a Finance Analyst, | Proficient in spreadsheets, databases, MS Office and financial software applications, | Hands on experience with statistical analysis and statistical packages | Outstanding presentation, reporting and communication skills | Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis | Well informed in current financial subjects, accounting, tax laws, money market and business environments | Proven experience in preparing and managingoperational and annual budgets."
9 days ago,Credit Analyst - Microfinance,Erada -,"Maadi, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Credit Analysis · Credit Risk · Credit Administration · Credit Control · Credit Management · credit · analyst,/jobs/p/rolwdqeixchj-credit-analyst-microfinance-erada-cairo-egypt,Not Mentioned,"Bachelor’s degree in Finance, Business Administration, Economics, or related field | 1–3 years of experience in microfinance lending or credit assessment | Strong analytical & numeric skills | High attention to detail with zero tolerance for documentation errors | Knowledge of Micro lending cycles, KYC, and fraud indicators | Excellent communication in Arabic & English"
10 days ago,Financial Planning Analyst,Beyti - an Almarai Subsidiary  -,"Alexandria, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Finance · Manufacturing · Supply Chain · Supply Chain finance · Financial Planning · Financial Services · Financial Accounting,/jobs/p/h5p4afrajssa-financial-planning-analyst-beyti-an-almarai-subsidiary-alexandria-egypt,Not Mentioned,"Bachelor's degree Of Commerce, Accounting or business Administration. | Minimum 3 years of experience is required, in FMCG or Manufacturing"
1 month ago,Production Analyst,Flex Asepto -,"Ain Sokhna, Suez, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Data Analysis · Root Cause Analysis · Statistical Analysis · Business Intelligence Tools · Reporting and Documentation · Cross-functional Collaboration · Microsoft Excel,/jobs/p/ld9msdvv3qrb-production-analyst-flex-asepto-suez-egypt,Not Mentioned,"Bachelor’s degree in Industrial Engineering, Manufacturing, Statistics, or a related field. | 3-5 years of experience in a production analysis, manufacturing, or operations role. | Strong analytical and problem-solving skills with a keen attention to detail. | Proficiency in data analysis tools such as Excel, SQL, or business intelligence platforms. | Excellent communication and interpersonal skills for effective cross-functional collaboration. | Ability to manage multiple projects and prioritize tasks in a fast-paced environment. | Experience with production planning, scheduling, and process optimization. | Familiarity with Lean Manufacturing, Six Sigma, or other continuous improvement methodologies. | Demonstrated ability to interpret complex data and present actionable recommendations. | Self-motivated with a proactive approach to identifying and solving operational challenges."
13 days ago,Senior Business Analyst,DAF Holding  -,"Cairo, Egypt ",Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Business process analysis · Digital transformation · Agile methodologies,/jobs/p/fzivdlpfco3v-senior-business-analyst-daf-holding-cairo-egypt,Not Mentioned,"Experience:Minimum 5–8 years of experience in Business Analysis within an IT environment. | Technical Proficiency:Mastery of BA tools (e.g., Jira, Confluence, Lucidchart, MS Visio). | Strong understanding of the Software Development Life Cycle (SDLC) and Agile frameworks (Scrum/Kanban). | Core Competencies:Systems Thinking: Ability to see how a change in one module affects the entire enterprise ecosystem. | Facilitation:Expert-level ability to lead workshops and bridge the gap between technical developers and non-technical business owners. | Performance Success Criteria Requirements Quality:Low percentage of ""rework"" required due to ambiguous"
